"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,2704.03,2820.66
1902,3173.6,2812.79
1903,2613.01,2806.71
1904,2753.47,2804.19
1905,2698.66,2807.05
1906,2818.88,2817.04
1907,2812.84,2835.65
1908,2954.32,2860.83
1909,2881.42,2887.83
1910,3234.54,2912.09
1911,2795.9,2928.99
1912,2715.42,2933.95
1913,3081.58,2926.5
1914,2638.84,2913.16
1915,2827.68,2901.11
1916,3018.24,2897.5
1917,3306.88,2909.54
1918,3200.07,2941.87
1919,2666.56,2987.92
1920,2699.18,3038.01
1921,3032.15,3082.05
1922,3069.99,3110.38
1923,2927.27,3113.98
1924,3302.46,3095.09
1925,3522.27,3064.73
1926,2964.43,3033.96
1927,3196.77,3013.85
1928,3019.67,3015.48
1929,2891.64,3042.73
1930,2705.83,3085.99
1931,2978.66,3134.18
1932,3273.88,3176.33
1933,3207.57,3201.11
1934,3420.48,3199.84
1935,3146.72,3175.48
1936,3255.62,3134.7
1937,3184.74,3084.51
1938,3078.98,3031.62
1939,2962.88,2982.65
1940,2665.47,2941.31
1941,2790.99,2909.26
1942,3050.96,2887.72
1943,2768.1,2878.06
1944,2722.2,2881.63
1945,3235.26,2898.28
1946,2902.46,2924.67
1947,3135.59,2957.05
1948,2790.26,2991.79
1949,3168,3024.95
1950,2924.12,3053.04
1951,2998.34,3073.26
1952,3071.45,3083.17
1953,2973.85,3080.24
1954,3244.17,3062.05
1955,3019.7,3026.39
1956,3177,2976.61
1957,2777.38,2921.91
1958,2618.86,2871.27
1959,2998.74,2833.79
1960,2887.67,2818.57
1961,2740.44,2829.8
1962,3058.88,2859.49
1963,2772.29,2897.98
1964,2808.87,2935.69
1965,2922.46,2962.73
1966,3219.84,2970.94
1967,2993.65,2961.68
1968,2749.54,2940.25
1969,2887.85,2912.15
1970,2986.46,2882.7
1971,2955.16,2857.17
1972,2454.39,2837.54
1973,3097.16,2822.54
1974,2774.48,2810.57
1975,3020.38,2800.08
1976,2611.06,2789.52
1977,2830.68,2778.47
1978,2539.05,2769.32
1979,2760.63,2765
1980,3017.72,2768.46
1981,2885.97,2782.6
1982,2548.09,2809.34
1983,2653.52,2842.9
1984,3306.6,2873.9
1985,2819.02,2892.68
1986,2751.69,2889.87
1987,2634.41,2856.38
1988,3276.15,2795.18
1989,2700.19,2724.35
1990,2406.34,2662.35
1991,2650.01,2627.73
1992,2442.61,2639.18
1993,2800.13,2705.88
1994,2956.59,2808.11
1995,3190.95,2920.65
1996,3170.28,3018.49
1997,2500.5,3075.81
1998,2640.38,3071.26
1999,3401.36,3015.56
2000,3259.31,2936.45
2001,2964.25,2862.53
2002,2618.22,2821.72
2003,3104.61,2841.54
2004,2781.46,2926.53
2005,2778.28,3049.26
2006,3111.03,3180.81
2007,3240.98,3292.13
2008,3568.85,3354.23
2009,3398.91,3347.35
2010,3093.6,3286.5
2011,3430.31,3193.93
2012,3208.26,3091.6
2013,3082.36,3002.37
2014,2799.98,2946.5
2015,2653.89,2926.66
2016,2822.66,2934.84
2017,3253.44,2962.82
2018,3232.62,3002.4
2019,2587.58,3045.46
2020,3041.17,3087.21
2021,3286.35,3127.4
2022,3482.76,3166.51
2023,3097.8,3204.9
2024,3123.9,3243.02
