"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,25.76,25.8
1902,25.76,25.75
1903,25.71,25.7
1904,25.64,25.67
1905,25.73,25.65
1906,25.75,25.65
1907,25.67,25.68
1908,25.69,25.73
1909,25.7,25.79
1910,25.69,25.85
1911,25.95,25.91
1912,26.02,25.95
1913,25.95,25.96
1914,26.09,25.96
1915,26.07,25.95
1916,25.87,25.92
1917,25.74,25.9
1918,25.65,25.88
1919,26.04,25.86
1920,25.96,25.85
1921,25.84,25.84
1922,25.88,25.84
1923,25.83,25.85
1924,25.84,25.87
1925,25.8,25.89
1926,25.96,25.91
1927,25.88,25.91
1928,25.89,25.91
1929,25.76,25.89
1930,25.96,25.86
1931,26.06,25.84
1932,25.79,25.82
1933,25.83,25.82
1934,25.72,25.85
1935,25.93,25.89
1936,25.92,25.94
1937,25.95,25.98
1938,25.87,26
1939,25.83,25.99
1940,26.01,25.96
1941,26.48,25.92
1942,25.77,25.87
1943,25.74,25.83
1944,25.76,25.81
1945,25.77,25.82
1946,25.8,25.85
1947,25.86,25.89
1948,25.95,25.92
1949,25.91,25.93
1950,25.97,25.92
1951,25.9,25.89
1952,25.86,25.85
1953,25.95,25.81
1954,25.77,25.78
1955,25.66,25.77
1956,25.51,25.79
1957,25.91,25.81
1958,26.07,25.83
1959,25.83,25.83
1960,25.89,25.8
1961,25.6,25.74
1962,25.5,25.66
1963,25.56,25.58
1964,25.58,25.51
1965,25.45,25.48
1966,25.74,25.49
1967,25.47,25.54
1968,25.51,25.62
1969,25.76,25.69
1970,25.67,25.75
1971,25.54,25.77
1972,25.92,25.75
1973,26,25.71
1974,25.6,25.67
1975,25.61,25.64
1976,25.42,25.64
1977,25.68,25.67
1978,25.8,25.73
1979,25.89,25.81
1980,25.84,25.88
1981,25.96,25.94
1982,25.98,25.97
1983,26.29,25.98
1984,25.6,25.97
1985,25.79,25.96
1986,25.86,25.95
1987,26.22,25.96
1988,26.07,25.98
1989,25.86,26.02
1990,26.22,26.06
1991,26.22,26.11
1992,26.13,26.15
1993,26.06,26.18
1994,26.14,26.21
1995,26.19,26.24
1996,26.1,26.27
1997,26.42,26.3
1998,26.78,26.34
1999,26.16,26.38
2000,26.3,26.42
2001,26.39,26.45
2002,26.57,26.45
2003,26.38,26.43
2004,26.32,26.37
2005,26.37,26.3
2006,26.27,26.24
2007,26.21,26.19
2008,26.02,26.18
2009,26.31,26.22
2010,26.46,26.29
2011,26.23,26.37
2012,26.41,26.46
2013,26.51,26.54
2014,26.42,26.59
2015,26.66,26.61
2016,26.93,26.61
2017,26.5,26.6
2018,26.54,26.6
2019,26.82,26.6
2020,26.7,26.63
2021,26.48,26.66
2022,26.35,26.71
2023,26.78,26.76
2024,27.06,26.82
